,Unnamed: 0,URL,VIN,brand,condition,cylinders,drive,fuel,loc_prefixes,model,odometer,paint color,price,size,time_Ad,title status,transmission,type,year,cor_od,cor_tmad,cor_odT,cor_tmadT,cor_mdT
0,0,http://vancouver.craigslist.ca//bnc/cto/5296519378.html,,toyota,excellent,4 cylinders,fwd,gas,cto,corolla,209000.000,green,3200.000,,6.000,clean,automatic,coupe,1999.000,0.015,-0.143,-0.839,0.288,0.927
1,1,http://vancouver.craigslist.ca//van/cto/5298883982.html,,toyota,excellent,4 cylinders,fwd,gas,cto,corolla,209500.000,green,3200.000,compact,5.000,clean,automatic,sedan,1999.000,0.015,-0.143,-0.839,0.288,0.927
2,2,http://vancouver.craigslist.ca//van/cto/5297618931.html,,toyota,excellent,4 cylinders,fwd,gas,cto,corolla,209500.000,green,3200.000,,5.000,clean,automatic,sedan,1999.000,0.015,-0.143,-0.839,0.288,0.927
3,3,http://vancouver.craigslist.ca//van/cto/5295880076.html,,toyota,excellent,4 cylinders,fwd,gas,cto,corolla,209000.000,,3200.000,,6.000,clean,automatic,sedan,1999.000,0.015,-0.143,-0.839,0.288,0.927
4,4,http://vancouver.craigslist.ca//rds/cto/5305746841.html,,toyota,fair,4 cylinders,fwd,gas,cto,corolla,145000.000,brown,3900.000,mid-size,0.000,clean,automatic,sedan,2002.000,-0.845,0.084,-0.839,0.288,0.927
5,5,http://vancouver.craigslist.ca//rds/cto/5302096932.html,,toyota,fair,4 cylinders,fwd,gas,cto,corolla,145000.000,brown,3900.000,mid-size,3.000,clean,automatic,sedan,2002.000,-0.845,0.084,-0.839,0.288,0.927
6,6,http://vancouver.craigslist.ca//rds/cto/5290109467.html,,toyota,like new,4 cylinders,,gas,cto,corolla,56990.000,grey,11999.000,,10.000,clean,automatic,sedan,2012.000,-0.276,0.117,-0.839,0.288,0.927
7,7,http://vancouver.craigslist.ca//rds/cto/5279411831.html,,toyota,good,4 cylinders,fwd,gas,cto,corolla,145000.000,brown,3900.000,mid-size,17.000,clean,automatic,other,2002.000,-0.845,0.084,-0.839,0.288,0.927
8,9,http://vancouver.craigslist.ca//rds/cto/5306504570.html,,Toyota,excellent,4 cylinders,fwd,gas,cto,corolla,162000.000,brown,3100.000,mid-size,0.000,rebuilt,automatic,sedan,2001.000,-0.836,-0.612,-0.839,0.288,0.927
9,11,http://vancouver.craigslist.ca//bnc/cto/5306478147.html,2T1BA01E3VCC20450,toyota,excellent,,,gas,cto,corolla,118000.000,purple,2000.000,,0.000,clean,automatic,sedan,2007.000,-0.458,0.266,-0.839,0.288,0.927
10,13,http://vancouver.craigslist.ca//van/cto/5306118102.html,,toyota,good,4 cylinders,fwd,gas,cto,corolla,217300.000,red,1500.000,mid-size,0.000,clean,manual,sedan,2002.000,-0.845,0.084,-0.839,0.288,0.927
11,14,http://vancouver.craigslist.ca//bnc/cto/5305804421.html,,toyota,like new,4 cylinders,fwd,gas,cto,corolla,83000.000,blue,9999.000,compact,0.000,clean,automatic,wagon,2010.000,-0.147,0.372,-0.839,0.288,0.927
12,15,http://vancouver.craigslist.ca//van/cto/5305716522.html,,toyota,like new,4 cylinders,,gas,cto,corolla,32300.000,,17900.000,,0.000,clean,automatic,,2014.000,-0.460,0.467,-0.839,0.288,0.927
13,16,http://vancouver.craigslist.ca//rds/cto/5269165339.html,,toyota,like new,4 cylinders,,gas,cto,corolla,284200.000,brown,1500.000,,24.000,clean,automatic,,2000.000,-0.595,-0.185,-0.839,0.288,0.927
14,17,http://vancouver.craigslist.ca//rds/cto/5305146442.html,,Toyota,,,,gas,cto,Corolla,167000.000,,6500.000,,1.000,clean,automatic,,2003.000,-0.483,-0.192,-0.839,0.288,0.927
15,18,http://vancouver.craigslist.ca//rds/cto/5280250720.html,,TOYOTA,,,,gas,cto,COROLLA,36000.000,,11600.000,,17.000,rebuilt,automatic,,2012.000,-0.276,0.117,-0.839,0.288,0.927
16,20,http://vancouver.craigslist.ca//rds/cto/5277889375.html,,toyota,good,4 cylinders,fwd,gas,cto,corolla,145000.000,brown,3900.000,mid-size,18.000,clean,automatic,wagon,2002.000,-0.845,0.084,-0.839,0.288,0.927
17,21,http://vancouver.craigslist.ca//rds/cto/5294009370.html,,toyota,fair,4 cylinders,,gas,cto,corolla,181000.000,blue,1250.000,,8.000,rebuilt,automatic,,1999.000,0.015,-0.143,-0.839,0.288,0.927
18,22,http://vancouver.craigslist.ca//rds/cto/5304714529.html,,toyota,,,,gas,cto,corolla,93000.000,,5900.000,,1.000,clean,automatic,,2006.000,-0.194,0.378,-0.839,0.288,0.927
19,23,http://vancouver.craigslist.ca//van/cto/5304444568.html,,toyota,good,4 cylinders,fwd,gas,cto,corolla,150000.000,silver,1900.000,mid-size,1.000,rebuilt,manual,coupe,2003.000,-0.483,-0.192,-0.839,0.288,0.927
20,24,http://vancouver.craigslist.ca//van/cto/5296916449.html,,toyota,excellent,4 cylinders,fwd,gas,cto,corolla,53000.000,grey,13800.000,compact,6.000,clean,automatic,sedan,2013.000,-0.632,0.159,-0.839,0.288,0.927
21,25,http://vancouver.craigslist.ca//rds/cto/5304181156.html,,Toyota,,,,gas,cto,Corolla,167000.000,,6500.000,,1.000,clean,automatic,,2003.000,-0.483,-0.192,-0.839,0.288,0.927
22,26,http://vancouver.craigslist.ca//bnc/cto/5278158770.html,,toyota,excellent,4 cylinders,fwd,gas,cto,corolla,95000.000,red,8750.000,compact,18.000,rebuilt,automatic,hatchback,2010.000,-0.147,0.372,-0.839,0.288,0.927
23,27,http://vancouver.craigslist.ca//van/cto/5303952462.html,,toyota,good,4 cylinders,fwd,gas,cto,corolla,217300.000,red,1700.000,,1.000,clean,manual,sedan,2002.000,-0.845,0.084,-0.839,0.288,0.927
24,29,http://vancouver.craigslist.ca//rds/cto/5303605622.html,,Toyota,good,,,gas,cto,Corolla,172000.000,silver,6250.000,,2.000,clean,automatic,sedan,2005.000,-0.480,0.425,-0.839,0.288,0.927
25,30,http://vancouver.craigslist.ca//rds/cto/5303478829.html,,Toyota,excellent,4 cylinders,fwd,gas,cto,corolla,124000.000,grey,8000.000,full-size,2.000,rebuilt,automatic,sedan,2009.000,-0.549,-0.078,-0.839,0.288,0.927
26,32,http://vancouver.craigslist.ca//bnc/cto/5303186190.html,,Toyota,excellent,4 cylinders,fwd,gas,cto,Corolla,193000.000,red,5975.000,compact,2.000,clean,automatic,sedan,2009.000,-0.549,-0.078,-0.839,0.288,0.927
27,33,http://vancouver.craigslist.ca//van/cto/5277989013.html,,Toyota,excellent,4 cylinders,,gas,cto,corolla,165000.000,grey,10500.000,,18.000,clean,automatic,sedan,2006.000,-0.194,0.378,-0.839,0.288,0.927
28,34,http://vancouver.craigslist.ca//rds/cto/5279732671.html,,Toyota,,,,gas,cto,Corolla,167000.000,,6500.000,,17.000,clean,automatic,,2003.000,-0.483,-0.192,-0.839,0.288,0.927
29,36,http://vancouver.craigslist.ca//pml/cto/5302275767.html,,TOYOTA,good,4 cylinders,fwd,gas,cto,COROLLA,129000.000,silver,3380.000,full-size,2.000,clean,automatic,sedan,2001.000,-0.836,-0.612,-0.839,0.288,0.927
30,37,http://vancouver.craigslist.ca//rds/cto/5277447668.html,,Toyota,excellent,4 cylinders,,gas,cto,Corolla,167000.000,blue,6500.000,,18.000,clean,automatic,,2003.000,-0.483,-0.192,-0.839,0.288,0.927
31,38,http://vancouver.craigslist.ca//van/cto/5302075767.html,,toyota,excellent,4 cylinders,fwd,gas,cto,corolla,158000.000,silver,3499.000,compact,3.000,clean,automatic,sedan,2002.000,-0.845,0.084,-0.839,0.288,0.927
32,39,http://vancouver.craigslist.ca//rds/cto/5256032384.html,,toyota,excellent,4 cylinders,fwd,gas,cto,corolla,248000.000,brown,2400.000,mid-size,32.000,clean,manual,sedan,2001.000,-0.836,-0.612,-0.839,0.288,0.927
33,40,http://vancouver.craigslist.ca//rds/cto/5301362706.html,,Toyota,,,,gas,cto,Corolla,167000.000,,6500.000,,3.000,clean,automatic,,2003.000,-0.483,-0.192,-0.839,0.288,0.927
34,41,http://vancouver.craigslist.ca//rds/cto/5286936680.html,,TOYOTA,,,,gas,cto,COROLLA,141900.000,grey,9499.000,,12.000,clean,automatic,sedan,2010.000,-0.147,0.372,-0.839,0.288,0.927
35,42,http://vancouver.craigslist.ca//bnc/cto/5300782936.html,,toyota,good,4 cylinders,fwd,gas,cto,corolla,149000.000,white,5600.000,full-size,3.000,clean,automatic,sedan,2005.000,-0.480,0.425,-0.839,0.288,0.927
36,43,http://vancouver.craigslist.ca//pml/cto/5300695344.html,,toyota,good,4 cylinders,fwd,gas,cto,corolla,114000.000,white,4000.000,compact,3.000,rebuilt,automatic,sedan,2005.000,-0.480,0.425,-0.839,0.288,0.927
37,44,http://vancouver.craigslist.ca//pml/cto/5275228879.html,,toyota,good,4 cylinders,fwd,gas,cto,corolla,113000.000,white,4000.000,compact,20.000,rebuilt,automatic,sedan,2005.000,-0.480,0.425,-0.839,0.288,0.927
38,45,http://vancouver.craigslist.ca//rds/cto/5300675884.html,,Toyota,,,,gas,cto,Corolla,167000.000,,6500.000,,3.000,clean,automatic,,2003.000,-0.483,-0.192,-0.839,0.288,0.927
39,46,http://vancouver.craigslist.ca//rch/cto/5300556181.html,,toyota,like new,4 cylinders,fwd,gas,cto,corolla,56000.000,grey,14500.000,,3.000,clean,automatic,,2013.000,-0.632,0.159,-0.839,0.288,0.927
40,47,http://vancouver.craigslist.ca//van/cto/5282701311.html,,toyota,excellent,4 cylinders,fwd,gas,cto,corolla,80000.000,silver,9500.000,compact,15.000,clean,automatic,sedan,2010.000,-0.147,0.372,-0.839,0.288,0.927
41,48,http://vancouver.craigslist.ca//rds/cto/5300115149.html,,toyota,good,4 cylinders,fwd,gas,cto,corolla,80000.000,white,3000.000,,4.000,clean,automatic,sedan,2000.000,-0.595,-0.185,-0.839,0.288,0.927
42,49,http://vancouver.craigslist.ca//rds/cto/5299755706.html,,Toyota,,,,gas,cto,Corolla,167000.000,,6500.000,,4.000,clean,automatic,,2003.000,-0.483,-0.192,-0.839,0.288,0.927
